certification_course,gender,department,heightcm,weightkg,tenth_mark,twelfth_mark,college_mark,hobbies,daily_studying_time,prefer_to_study_in,salary_expectation,degree_satisfaction,degree_driven_career_aspirations,social_media_and_video,travelling_time,stress_level,financial_status,part_time_job,bmi
Yes,Male,BCA,106.0,64.0,80.0,70.0,75.0,Sports,0 - 30 minute,Morning,25000,Yes,75%,1 - 1.30 hour,0 - 30 minutes,Awful,Bad,No,extremely_obese
Yes,Male,BCA,170.0,67.0,81.4,69.0,75.0,Cinema,30 - 60 minute,Anytime,25000,No,100%,1.30 - 2 hour,0 - 30 minutes,Good,Awful,Yes,normal
Yes,Male,BCA,171.0,60.0,78.0,55.0,70.0,Reading books,3 - 4 hour,Anytime,21,Yes,100%,30 - 60 Minute,30 - 60 minutes,Awful,good,Yes,normal
No,Male,BCA,177.0,75.0,60.0,60.0,50.0,Cinema,30 - 60 minute,Morning,25000,Yes,75%,1 - 1.30 hour,1 - 1.30 hour,Good,Bad,No,normal
Yes,Female,BCA,170.0,45.0,75.0,64.0,74.0,Cinema,0 - 30 minute,Anytime,20000,No,25%,More than 2 hour,0 - 30 minutes,Good,good,No,underweight
Yes,Female,BCA,180.0,75.0,90.2,61.6,85.0,Video Games,1 - 2 Hour,Anytime,35000,Yes,75%,More than 2 hour,0 - 30 minutes,Bad,good,No,normal
Yes,Male,BCA,174.0,54.0,80.0,62.0,75.0,Sports,30 - 60 minute,Night,20000,Yes,75%,30 - 60 Minute,2.30 - 3 hour,fabulous,Awful,No,underweight
No,Male,BCA,172.0,56.0,86.5,65.3,79.5,Sports,0 - 30 minute,Morning,15000,Yes,75%,More than 2 hour,1 - 1.30 hour,Good,good,No,normal
Yes,Female,BCA,153.0,50.0,88.8,71.0,85.0,Cinema,3 - 4 hour,Morning,18000,Yes,100%,1 - 1.30 hour,1 - 1.30 hour,Good,good,No,normal
Yes,Male,BCA,158.0,75.0,90.0,75.0,70.0,Sports,2 - 3 hour,Night,20000,Yes,50%,1.30 - 2 hour,2 - 2.30 hour,Bad,good,No,obese
No,Male,BCA,177.0,70.0,85.0,61.0,75.0,Reading books,2 - 3 hour,Anytime,30000,Yes,50%,30 - 60 Minute,30 - 60 minutes,Good,good,No,normal
No,Male,BCA,175.0,65.0,76.0,70.0,7.5,Sports,1 - 2 Hour,Morning,15000,No,50%,1 - 1.30 hour,30 - 60 minutes,Good,good,No,normal
Yes,Male,BCA,170.0,70.0,80.0,70.0,70.0,Cinema,3 - 4 hour,Night,50000,No,100%,More than 2 hour,more than 3 hour,Bad,good,Yes,normal
